GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
otp,com.example.app,MainController,13,0,0,0,5,0,3,0,3,0
otp,com.example.app,AdminController,136,0,10,0,39,0,13,0,8,0
otp,com.example.app,LoginController,245,0,20,0,68,0,19,0,9,0
otp,com.example.app,SceneManager,130,0,2,0,37,0,6,0,5,0
otp,com.example.app,JWTHelper,88,0,14,0,23,0,9,0,2,0
otp,com.example.app,Main,410,0,6,0,67,0,24,0,21,0
otp,com.example.app,DashboardController,18,0,0,0,7,0,3,0,3,0
otp,com.example.otp.util,JWTUtil,6,34,0,0,3,13,1,3,1,3
otp,com.example.otp.util,BCryptUtil,3,15,0,0,1,3,1,2,1,2
otp,com.example.otp.dao,MaterialDao,20,282,13,17,0,60,13,9,0,7
otp,com.example.otp.dao,CourseDao,4,186,7,11,0,45,7,9,0,7
otp,com.example.otp.dao,ParticipantDao,2,115,2,6,0,29,2,7,0,5
otp,com.example.otp.dao,UserDao,4,254,10,16,0,61,10,11,0,8
otp,com.example.otp.dao,ReviewDao,29,291,18,24,0,60,18,11,0,8
otp,com.example,App,10,0,0,0,4,0,2,0,2,0
otp,com.example.otp.db,Database,10,9,0,0,3,3,1,1,1,1
otp,com.example.otp.model,Material,27,59,0,0,10,17,1,17,1,17
otp,com.example.otp.model,User,21,45,0,0,8,13,1,13,1,13
otp,com.example.otp.model,Review,21,45,0,0,8,13,1,13,1,13
otp,com.example.otp.model,Course,15,31,0,0,6,9,1,9,1,9
otp,com.example.otp.controllers,CourseController,111,282,20,22,24,64,20,9,0,8
otp,com.example.otp.controllers,UserController,131,279,25,25,27,67,23,8,0,6
otp,com.example.otp.controllers,ReviewController,112,297,17,25,27,77,17,11,0,7
otp,com.example.otp.controllers,MaterialController,125,316,21,21,27,80,21,8,0,8
otp,com.example.otp.controllers,ParticipantController,69,198,7,9,16,50,7,6,0,5
